aren't,are not
can't,cannot
couldn't,could not
didn't,did not
daren't,dare not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
isn't,is not
mayn't,may not
mightn't,might not
mustn't,must not
needn't,need not
oughtn't,ought not
shan't,shall not
shouldn't,should not
wasn't,was not
weren't,were not
won't,would not
wouldn't,would not
